31,Игрушечный транспорт,c05e4a1d-42ef-458e-95d8-ec67bb6218df,https://www.detmir.ru/catalog/index/name/transport/,2,2e2d6f47-5b97-4bae-8672-e8ee21fdc122
32,Автотреки,6d9ee870-63ee-4cc5-ac13-c827eda98d9b,https://www.detmir.ru/catalog/index/name/avtotreki/,3,c05e4a1d-42ef-458e-95d8-ec67bb6218df
33,Наземный транспорт,e852693a-20d1-461d-86f0-86102a81b0cf,https://www.detmir.ru/catalog/index/name/mashiny/,3,c05e4a1d-42ef-458e-95d8-ec67bb6218df
34,Транспортные модели из мультсериалов и фильмов,1793f269-a7fc-4814-9949-ee48dbf176c2,https://www.detmir.ru/catalog/index/name/transport_animated_movies/,3,c05e4a1d-42ef-458e-95d8-ec67bb6218df
35,Модели коллекционные,d739663c-8402-4f9f-981d-6584665a4066,https://www.detmir.ru/catalog/index/name/model_collectible/,3,c05e4a1d-42ef-458e-95d8-ec67bb6218df
36,Гаражи и парковочные станции,d87c0549-f226-4f44-90cc-b760b380f1af,https://www.detmir.ru/catalog/index/name/parkovki_garagi/,3,c05e4a1d-42ef-458e-95d8-ec67bb6218df
37,Железные дороги,6dd0cc43-3dcd-41a2-aaa1-3e5636720631,https://www.detmir.ru/catalog/index/name/zheleznye_dorogi/,3,c05e4a1d-42ef-458e-95d8-ec67bb6218df
38,"Вертолеты, самолеты, Космическая техника, катера, корабли",c36ef720-9042-40fe-8149-e69e561c211c,https://www.detmir.ru/catalog/index/name/aircrafts_boats_ships/,3,c05e4a1d-42ef-458e-95d8-ec67bb6218df
39,Военная техника,e7ed8a8a-116a-48e7-8024-66d4a799939d,https://www.detmir.ru/catalog/index/name/voennie_nabory/,3,c05e4a1d-42ef-458e-95d8-ec67bb6218df
40,Транспорт для кукол,929f0d53-dcbc-431c-b2e6-69512d16c1c3,https://www.detmir.ru/catalog/index/name/transport_dolls/,3,c05e4a1d-42ef-458e-95d8-ec67bb6218df
41,Радиоуправляемые игрушки,c7089120-74ed-4f82-98f1-4c35f6afc6ed,https://www.detmir.ru/catalog/index/name/radioupravlyaemye_igrushki/,2,2e2d6f47-5b97-4bae-8672-e8ee21fdc122
42,Радиоуправляемые машины,75351a3c-046a-41ac-83cd-fe54ab2af0db,https://www.detmir.ru/catalog/index/name/mashini/,3,c7089120-74ed-4f82-98f1-4c35f6afc6ed
